A_Name_Ch,A_Summary,A_Keywords,A_AlsoKnown,A_Geo,A_Location,A_POIGroup,A_Name_En,A_Name_Latin,A_Phylum,A_Class,A_Order,A_Family,A_Conservation,A_Distribution,A_Habitat,A_Feature,A_Behavior,A_Diet,A_Crisis,A_Interpretation,A_Theme_Name,A_Theme_URL,A_Adopt,A_Code,A_Pic01_ALT,A_Pic01_URL,A_Pic02_ALT,A_Pic02_URL,A_Pic03_ALT,A_Pic03_URL,A_Pic04_ALT,A_Pic04_URL,A_pdf01_ALT,A_pdf01_URL,A_pdf02_ALT,A_pdf02_URL,A_Voice01_ALT,A_Voice01_URL,A_Voice02_ALT,A_Voice02_URL,A_Voice03_ALT,A_Voice03_URL,A_Vedio_URL,A_Update,A_CID,,
大貓熊,,,貓熊、熊貓,MULTIPOINT ((121.5831587 24.9971109)),大貓熊館,,Giant Panda,Ailuropoda melanoleuca,脊索動物門,哺乳綱,食肉目,熊科,易危(VU),目前僅存於中國四川、甘肅和陜西三省境內。,"海拔2600-3,000公尺的高山中，會因季節的變化而改變其居住的海拔高度，一般在乾淨的活水源和竹林發育良好的地區活動。","1. 成熊身長約為120-180公分，體重約80-120公斤，幼熊出生時體長約10公分，體重約僅有150~200公克。
 2. 具有強壯有力的四肢：後腳內八字撇，有利於在密林中走動時撥開竹子。
 3. 腕骨特化成的偽拇指(不具備關節)，使得牠們能俐落地取食竹子。
 4. 掌心覆有毛，使得大貓熊能夠在寒冷的雪地上行走。
 5.大貓熊身體顏色主要為黑白兩色。耳朵、眼斑、鼻頭、肩背部和四肢為黑色，其餘部位為白色。相對比例較小的黑色耳朵有減少熱量散失的功能。","1.獨居的動物，除了交配季節或雌性的育幼時期，牠們都是獨自居住的。
  2.最活躍的時間在早晨和黃昏，但竹子所含熱量低，為減少能量的消耗，牠們每天的睡眠時間約10小時，剩餘時間則大多在覓食和進食。",大貓熊以竹為主食(佔日糧中大約99%),過去大貓熊棲息地裡的竹林竹種較為單一，1983年曾發生棲地內箭竹週期性大規模開花枯死而有大貓熊餓死的情形，竹林一旦開花，須再經多年後才能恢復舊觀。另外大貓熊棲息地的破碎化，使得牠們無法遷徙至其他有竹子的地方，加劇了這個原是林地自然演替的危害。也因棲地破碎化，部分種群因數量規模小，基因的窄化以及無法延續也成為另一嚴重問題。,,YA!大貓熊-臺北大貓熊保育網,http://newweb.zoo.gov.tw/panda/,,Panda,大貓熊「團團」和「圓圓」,http://www.zoo.gov.tw/iTAP/03_Animals/PandaHouse/Panda_Pic01.jpg,「圓仔」跟媽媽互動,http://www.zoo.gov.tw/iTAP/03_Animals/PandaHouse/Panda_Pic02.jpg,大貓熊「圓仔」,http://www.zoo.gov.tw/iTAP/03_Animals/PandaHouse/Panda_Pic03.jpg,大貓熊「團團」和「圓圓」,http://www.zoo.gov.tw/iTAP/03_Animals/PandaHouse/Panda_Pic04.jpg,「遇見大貓熊」學習單(4.2MB),http://www.zoo.gov.tw/iTAP/03_Animals/PandaHouse/Panda_PDF01.pdf,「遇見大貓熊」解答(1.18MB),http://www.zoo.gov.tw/iTAP/03_Animals/PandaHouse/Panda_PDF02.pdf,雌大貓熊咩叫聲,http://mediasys.taipei.gov.tw/tcg/service/KMStorage/355/894E598B-8A9F-BAA8-206D-8DF52A8C5763/Panda_Voice01.mp3,雌雄大貓熊交配時的叫聲,http://mediasys.taipei.gov.tw/tcg/service/KMStorage/355/3FAC21EE-A863-6E2C-BF12-4E6FEF67BDE/Panda_Voice02.mp3,山豬老大ABC第13集Bears,http://mediasys.taipei.gov.tw/tcg/service/KMStorage/355/ADB04074-6156-5C7C-1630-B4E88BAD5147/Panda_Voice03.mp3,http://www.youtube.com/playlist?list=PLWYak5Af5-DvboTzxQYeg7aKYA9UHYwSf,########,1,,APP缺照片
國王企鵝,,企鵝；國王企鵝,,MULTIPOINT ((121.5907654 24.9931338)),企鵝館,,King Penguin,Aptenodytes patagonicus,脊索動物門,鳥綱,企鵝目,企鵝科,暫無危機 LC,次南極區。涵蓋南美福克蘭群島、喬治亞群島、南非南方海域及紐西蘭南方海域。,,"1. 國王企鵝是全世界體型第二大的企鵝(僅次於帝王企鵝)，嘴喙長、耳羽顏色偏橘，有一圈黑邊框，圖案類似水滴形。
 2. 喉嚨至前胸部位為美麗的金黃色。
 3. 體長大約95公分(測量企鵝的體長，是由嘴至尾拉長)。體重大約12～15Kg。在圈養環境下平均壽命約15至20年。","1.國王企鵝在圈養環境下平均壽命約15-20年。
 2.國王企鵝繁殖期會群聚在一起，繁殖期期間會有領域性，每對領域的範圍約1平方公尺。不築巢，每窩下一個蛋，由雌雄輪流孵蛋，孵化期平均約56天。雛鳥孵出時幾乎全裸，帶有一些短絨羽，第一次的絨羽淺灰或褐色，第二次則轉為暗褐色，約40天大加入幼鳥群，約10-13個月羽翼豐滿。約5-7歲達到性成熟。
 3.國王企鵝野外族群估計超過兩百萬隻，呈增加的趨勢(國際自然保育聯盟IUCN於2008年評估)。",主要以魚維生，野外的國王企鵝特別喜歡吃小型的燈籠魚科(Myctophidae)的魚類，也會吃頭足類(cephalopods)如魷魚(Moroteuthis)。,,,,,,KingPenguin,國王企鵝,http://www.zoo.gov.tw/iTAP/03_Animals/PenguinHouse/KingPenguin/KingPenguin_Pic01.jpg,國王企鵝,http://www.zoo.gov.tw/iTAP/03_Animals/PenguinHouse/KingPenguin/KingPenguin_Pic02.jpg,國王企鵝,http://www.zoo.gov.tw/iTAP/03_Animals/PenguinHouse/KingPenguin/KingPenguin_Pic03.jpg,國王企鵝,http://www.zoo.gov.tw/iTAP/03_Animals/PenguinHouse/KingPenguin/KingPenguin_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DuSoWNgHVIi8vH8AlN6Rzg4,2017/9/29,2,,保育網缺照片
黑腳企鵝,,,,MULTIPOINT ((121.5910631 24.9928761)),企鵝館,,Jackass penguin,Spheniscus demersu,脊索動物門,鳥綱,企鵝目,企鵝科,瀕危EN,南非及納米比亞。,陸域、海洋。在近岸的島嶼築巢，較少在大陸的海岸築巢。在近岸的海域覓食。,"1. 黑腳企鵝的臉頰是黑色，眉毛到頭部的白色部分寬闊，眼睛前部是紅色。
 2. 部分個體在上胸處有第二個黑帶。
 3. 幼鳥的頭是灰色且胸帶不明顯。
 4. 體長大約68-70公分。體重約2-3kg。","1.群居。好奇、膽小又謹慎。
  2.吵架或繁殖配對時會發出咆哮聲音非常吵鬧。
  3.屬溫帶氣候企鵝，散熱有撇步：身上薄羽、蓬鬆羽、薄皮下脂；陸上活動時，會找遮蔽地，盡量夜間活動，有張口喘氣散熱習慣。
  4.黑腳企鵝整年都可繁殖，通常在岩石下、植叢內或洞穴內築巢，巢會內襯一些材料。一窩下2個蛋，有下第二窩的記錄。孵化期約38天。","1. 野外的黑腳企鵝會捕食遠洋0.5-1.2公分長的魚。
 2. 較重要的捕獲魚種有鯷魚和鯡魚。在可潛水至海底130公尺處。成鳥在海裡聚集成群，共同捕魚。","1. 黑腳企鵝在20世紀初估計有50萬至100萬對，目前的族群則估計有5萬隻(國際自然保育聯盟IUCN於2018年評估)。
 2. 近年族群消失的原因與所吃的魚被大量捕捉有關。
 3. 誤入魚網的意外則難以計算。",,,,,JackassPenguin,黑腳企鵝,https://www.zoo.gov.tw/iTAP/03_Animals/PenguinHouse/JackassPenguin/Jackasspenguin01.JPG,黑腳企鵝,https://www.zoo.gov.tw//iTAP/03_Animals/PenguinHouse/JackassPenguin/Jackasspenguin02.JPG,,,,,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-Dvty-i1vf2Qi3_pHasXp3LI,2017/9/29,3,,APP照片有誤
弓角羚羊,,,,MULTIPOINT ((121.5852535 24.9952281)),沙漠動物區,,Addax,Addax nasomaculatus,脊索動物門,哺乳綱,偶蹄目,牛科,極危 CR,非洲撒哈拉沙漠地區,莽原、草原和沙漠。,"1. 身體為米色到淡灰色，腹部、臀部及四肢的顏色較淡，眼睛下方及兩眼之間有明顯的白色斑紋，前額有一叢濃密又整齊的棕色瀏海。
 2.雌、雄頭上均長有螺旋形彎曲的角，雌性的角略細。","1. 弓角羚羊由年長的雄羚領導數隻雌羚及牠們的子女共同生活，一群約5-20隻。
 2如果打架打斷頭上的角，就不會再生長，殘缺的角會影響個體的社會地位。
 3.羚羊群體中的社會地位在進食時最容易分辨，地位低者通常吃其他羚羊吃剩的食物，或是以邊吃邊躲的方式進食。
 4.羚羊小時候的角直直像劍，約六個月大時才會和爸媽的角一樣開始螺旋轉彎。
 5.夏天毛色幾乎純白，因為白色外表在白天較不易吸收太陽輻射的熱能、在夜晚環境溫度降低時，則不易輻射太多熱量而失溫。到冬季即換上灰棕色的毛，並在頭、頸、肩長出棕色毛。",草食性。以草、樹葉、樹根和其他灌木為食。,,,,,,Addax,弓角羚羊,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Addax/Addax_Pic01.jpg,弓角羚羊,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Addax/Addax_Pic02.jpg,弓角羚羊,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Addax/Addax_Pic03.jpg,弓角羚羊,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Addax/Addax_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-Dsy34oRxaiXKHU2eVEUHvzp,2017/9/29,4,,保育網照片有誤
非洲野驢,,,,MULTIPOINT ((121.5856424 24.9951066)),沙漠動物區,,African wild ass,Equus africanus somaliensis,脊索動物門,哺乳綱,奇蹄目,馬科,極危 CR,衣索匹亞及東非厄利垂亞南邊，在索馬利亞可能有一個小族群,灌木叢、草原和沙漠。,"1. 非洲野驢背部鬃毛直立，頭、背及體側覆蓋著介於淺灰及淺黃色的短毛，吻端、腹部、腳則為白色。
 2. 索馬利亞種的腿上有類似斑馬的黑色水平紋路。","1.群居動物，生活在石礫沙漠環境，活動時間是涼爽的清晨與黃昏，白天天氣太熱時，會躲在山邊陰涼處休息。
 2.成熟的雄驢以堆糞劃定為其活動範圍，發情時雄驢除了會「喔咿喔咿…」高調唱著野驢的專屬情歌外，還會整天追逐雌驢，也會用頭摩擦雌驢的鬃毛，甚至會咬雌驢的脖子，嗅聞雌驢的排尿並做出翻唇的動作。",草食性。以草、 樹皮、樹葉為食。,,,,,,,非洲野驢,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/WildAss/WildAss_Pic01.jpg,非洲野驢,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/WildAss/WildAss_Pic02.jpg,非洲野驢,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/WildAss/WildAss_Pic03.jpg,非洲野驢,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/WildAss/WildAss_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DuVgMLgje0PwwGGWo9ioKRJ,2017/9/29,,,APP與保育網動物資料不一致
單峰駱駝,,,,MULTIPOINT ((121.5856987 24.9952026)),沙漠動物區,,Dromedary Camel或One-humped Camel,Camelus dromedarius,脊索動物門,哺乳綱,偶蹄目,駱駝科,極危 CR,中東地區，從埃及到非洲,莽原、草原和沙漠。,體毛短，但頭頂、頸、喉、臀及尾部的毛頗長，四肢比雙峰駱駝細長且行走速度較快。,"野生的單峰駱駝在2000年前就已絕跡。
 原產於阿拉伯地區極易馴化，大約在4000-6000年前就被人類馴養當作駝獸，用來載人及搬運貨物，是沙漠居民最有價值的運輸工具。",草食性。以沙漠中的植物為食。,,,,,,Camel-D,單峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-D/Camel-D_Pic01.jpg,單峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-D/Camel-D_Pic02.jpg,單峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-D/Camel-D_Pic03.jpg,單峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-D/Camel-D_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DtSkFAXVE5E83ap8tfON7my,2017/9/29,5,,動物資料一致但內容有誤
雙峰駱駝,,,戈壁雙峰駱駝,"MULTIPOINT ((121.5855928 24.9949741), (121.5826973 24.9987117))",沙漠動物區;兒童動物區,,Bactrian Camel或Two-humped Came,Camelus bactrianus,脊索動物門,哺乳綱,偶蹄目,駱駝科,瀕危 EN,蒙古、新疆的戈壁沙漠,,"1.成年駱駝的駝峰重約30公斤，內儲藏脂肪提供身體所需能量。剛出生的小駱駝駝峰扁塌，要等到開始吃食物後會累積脂肪，慢慢形成圓錐形的駝峰。如果駝峰塌陷歪垂，只要讓牠吃飽喝足休息夠，駝峰又可恢復到正常大小。
 2.耳朵小、耳孔不滿密毛、連耳道內的毛也交錯生長，加上濃密的睫毛即幾乎透明的眼皮，都是能防止風砂侵入並在風沙中可以看清道路行進。
 3.腳有二趾，肉墊厚且軟成扁平扇形狀，適合在沙漠中行走不會下陷。","1.單獨或成群活動，成群時以一隻雄駱駝帶領數隻雌駱駝和幼駱駝。有駱駝生下第一天就可以自由移動。
 2.雙峰駱駝生氣時會噴口水或用腳踢，會咬人，由於會反芻，被騷擾時會朝干擾者吐胃含物，具惡臭味。",草食性，以沙漠中的植物為食，也會吃一般動物難以下嚥的高鹽分植物；飢餓狀態下會吃肉。,,,,,,Camel-B,雙峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-B/Camel-B_Pic01.jpg,雙峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-B/Camel-B_Pic02.jpg,雙峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-B/Camel-B_Pic03.jpg,雙峰駱駝,http://www.zoo.gov.tw/iTAP/03_Animals/DesertAnimal/Camel-B/Camel-B_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DtSkFAXVE5E83ap8tfON7my,2017/9/29,6,,保育網無此筆動物資料
婆羅洲人猿,,,紅毛猩猩,"MULTIPOINT ((121.5834381 24.9952326), (121.5832482 24.9963699))",熱帶雨林區,,Bornean Orangutan,Pongo pygmaeus,脊索動物門,哺乳綱,靈長目,人科,極危 CR,婆羅門洲的熱帶雨林,低海拔之熱帶雨林及次森林,"1.全身披有紅褐色的毛髮，而粗糙、稀疏的毛髮顏色會隨著年齡改變，從幼年鮮明的橘色到成年動物的紅褐色，有些還會轉變成深巧克力色。
 2.幼猿頭頂上的毛豎起，成年後變平。幼猿的鼻口部份及眼睛周圍呈粉紅色，在成年動物呈黑或淺棕色。
 3.成年的雄性體型比雌性大約一倍，紅褐色的長毛、兩頰鼓起呈肉葉狀、寬鬆的喉囊、前肢較後肢長，手指和腳趾長而彎曲。
 4.成年的雌猿額頭高，鼻口凸出，喉囊較小，臉邊及頭上的毛髮較短。","1.日行性，早晨及下午近黃昏活動最為頻繁。
 2.手腳趾有力，抓取水果及樹枝方便，也能夠把自己掛在樹上雙手交替擺盪。
 3.極少下地活動，擺盪的技巧也是母猿教導。在地上以四肢行動，緩慢、警慎，手用拳頭著地。
 4.每天晚上睡前用樹枝及葉子在樹上築平臺狀的巢，白天則利用舊巢睡午覺。下雨或太陽很大時會拿多葉的樹枝擋雨遮陽，或是將大片的葉子掛在頭頸上。會用樹枝挖掘、打架、抓癢及吃東西。
 5.人猿平時比其他靈長類安靜，成年的雄猿通常單獨活動，利用氣囊當作共鳴器，在叢林中發出叫聲，用來宣示領域跟求偶。
 6.雌猿的母性十分強烈，會照顧幼猿到完全獨立後，才會再度交配生產。幼猿在2~3歲前，幾乎完全依靠母親哺乳及餵食，4歲斷奶、5歲以後跟隨母猿學習雨林中的求生技能，雌性後代成年後通常都會留在母猿附近活動。",雜食性;以植食性為主，樹葉、樹皮、果實(如無花果、紅毛丹等) ，其餘另有含豐富礦物質的土壤、昆蟲、小型脊椎動物或鳥蛋等。,棲地喪失、違法獵捕、森林大火、棲地破碎化、當地人動對於該物種的不了解、氣候變遷,,,,,Orangutan,人猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Orangutan/Orangutan_Pic01.jpg,人猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Orangutan/Orangutan_Pic02.jpg,人猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Orangutan/Orangutan_Pic03.jpg,人猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Orangutan/Orangutan_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DtvjgAHJ9EPpco4ZE3aRT4N,2017/9/29,7,,
大長臂猿,,,,"MULTIPOINT ((121.5833201 24.9955632), (121.5831825 24.9963796))",熱帶雨林區,,Siamang,Symphalangus syndactylus,脊索動物門,哺乳綱,靈長目,長臂猿科,瀕危EN,馬來西亞(馬來半島)、印尼(蘇門達臘)及泰國南部等地的雨林及密林中。,熱帶落葉性和常綠雨林，海拔600~2000公尺,"1.體型最大的一種長臂猿，全身佈滿長而濃密的黑色體毛，而在雄性生殖部位長有約15公分長的毛髮；體重約10~12公斤，體長約71~90公分，雙臂伸展開來長度約是體長的2.3~2.6倍。
 2.第二與三腳趾皮膚相連，故亦稱合趾猿。
  3.無論雄性、雌性，喉部均有灰色或粉紅色的喉囊，鳴叫時喉囊會充氣脹大。","1.日行性，早晨較活躍，下午較不活躍，黃昏回到休息的樹過夜。
 2.樹棲性，一般在25~30公尺高的林地上空活動，能靈活的用雙手交替攀緣行進。很少下樹至地面活動。
 3.一 夫一妻制，每個家庭有自己的領域，以叫聲來劃分界線。一天當中有30%的時間在大聲的叫，雄性尖叫，雌性則可發出約18秒長的一串吼叫聲。家庭成員非常團結，常在同一棵樹或同一群樹上覓食及互相理毛增進感情。",雜食性;主要食物為葉子和水果，其餘另有花、嫩芽及昆蟲等。,棲地喪失、違法獵捕、森林大火、棲地破碎化,,,,,Siamang,大長臂猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Siamang/Siamang_Pic01.jpg,大長臂猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Siamang/Siamang_Pic02.jpg,大長臂猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Siamang/Siamang_Pic03.jpg,大長臂猿,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/Siamang/Siamang_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DvCYzIQhRZFOKYhBQaEor5z,2017/9/29,8,,照片
雙角犀鳥,,,印度大犀鳥,MULTIPOINT ((121.5831872 24.9944558)),熱帶雨林區,,Great Indian Horbill,Buceros bicornis,脊索動物門,鳥綱,佛法僧目,犀鳥科,易危 VU,印度，中南半島，馬來半島，蘇門答臘。,熱帶常綠和落葉性樹林,"1. 黃色的嘴巨大而彎曲，鳥喙及頭盔的內部都是中空的、由如同蜂窩般狀的骨質先為所構成。中空、質地輕，不妨礙飛行。
  2. 羽毛主要為黑色，白色的尾長而闊，上有一道黑條紋。頭部的造型有如盔甲般，黃色的嘴喙、巨大而彎曲。
  3. 眼睛虹膜的顏色可最為辨識雌雄依據，雌鳥是白色的，雄鳥是紅色的，另盔角後緣雄鳥多呈黑色，雌鳥多為紅色。","1.成對或家庭式群居熱帶樹棲鳥，以樹洞為巢。
 2.雖然輕盈的大嘴不影響飛行，大犀鳥飛翔仍緩慢且顯得有些笨拙，翅膀形狀不適宜長途飛行，拍翅聲響聽似運作中的蒸氣引擎。
 3.繁殖時雌鳥會與雛鳥起留在樹洞巢中，洞口以泥土封閉，只留下一個小洞讓在外的雄鳥餵養全家，也給雌鳥及幼鳥排便。",雜食性；主要吃水果，偶爾吃小型的動物，如青蛙、蜥蜴、幼鳥、蝸牛及昆蟲。,棲地喪失、違法獵捕、森林大火、棲地破碎化,,,,,GreatHorbill,印度大犀鳥,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/GreatHorbill/GreatHorbill_Pic01.jpg,印度大犀鳥,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/GreatHorbill/GreatHorbill_Pic02.jpg,印度大犀鳥,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/GreatHorbill/GreatHorbill_Pic03.jpg,印度大犀鳥,http://www.zoo.gov.tw/iTAP/03_Animals/RainForest/GreatHorbill/GreatHorbill_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-Dunw0T5AN6anLw3QsSdcENM,2017/9/29,9,,特徵
